case,pixel,rmse,correlation
ever_high_1,54232659,0.16106917410394436,0.6248323698610906
ever_high_1,54232660,0.158749668009295,0.558829952324888
ever_high_1,54232661,0.13539728116796493,0.6559555026091949
ever_high_2,54232663,0.16841244698150817,0.580288790555556
ever_high_2,54232664,0.17117768162735117,0.4524698262573812
ever_high_2,54232665,0.16690274571532293,0.4841110591549159
ever_high_2,54239717,0.1571077307036044,0.7070996946493594
ever_high_2,54239718,0.15978715795510012,0.7552438946440975
ever_high_2,54239719,0.1547733834803778,0.7223110712861903
ever_high_2,54239720,0.1728209251455154,0.6897609037776775
ever_high_2,54239721,0.18612951780879822,0.6892248929501018
ever_high_2,54239722,0.18405617840401553,0.44407136457158647
ever_high_2,54239723,0.1662934355829602,0.4072372327752229
ever_high_2,54246872,0.15868805733546673,0.7258681075353806
ever_high_2,54246873,0.16470341759459095,0.7377914732875687
non_fire_1,84468269,0.11593881440729653,0.6908472510116846
non_fire_1,84468270,0.12282379960360144,0.6517202878705067
non_fire_1,84474637,0.10366230641390956,0.820065404857964
non_fire_1,84474638,0.11874418481834338,0.734114088097033
non_fire_1,84474639,0.11400414734661934,0.7378860932136627
non_fire_1,84474640,0.10508844712694777,0.779106526261423
non_fire_1,84474641,0.10905414676340484,0.7883140759898228
non_fire_1,84474642,0.11650320118589345,0.7494476719045613
non_fire_1,84474643,0.11462866328749932,0.739314862163148
non_fire_1,84481033,0.0973789719130195,0.8285003210285241
non_fire_1,84481034,0.12469554419393127,0.7213680206945662
non_fire_1,84481035,0.12032540844193039,0.7029125842191116
non_fire_2,84481037,0.09550165752915299,0.829837320957142
non_fire_2,84481038,0.08855066127497023,0.7883189387113676
non_fire_2,84481039,0.0871020845214144,0.8127121641605071
non_fire_2,84487421,0.11403730083015018,0.7753712480705761
non_fire_2,84487422,0.12304618183553119,0.7196088660501753
non_fire_2,84487423,0.10495746369449593,0.7677664917110878
non_fire_2,84487424,0.07815853420976616,0.8752393503860529
non_fire_2,84487425,0.07371098988077694,0.8280213643178391
non_fire_2,84487426,0.11663217906421511,0.32975907748598227
non_fire_2,84487427,0.0783021557553709,0.7700179729125479
non_fire_2,84493820,0.11762452564420377,0.7011706772781217
non_fire_2,84493821,0.09747767353891945,0.7120148504105919
storm_1,73572103,0.14185512104324802,0.8649867331630408
storm_1,73572104,0.06716262393175856,0.9724492367808052
storm_1,73577619,0.07269920084295993,0.9520493950388561
storm_1,73577620,0.09592411169343276,0.9272782106045873
storm_1,73577621,0.12517237025522993,0.8762257376147787
storm_1,73577622,0.10913433555057375,0.8997965815413934
storm_1,73577623,0.09558980130931262,0.9342876856447911
storm_1,73577624,0.12005465738339537,0.9021531337960378
storm_1,73577625,0.0622570807316889,0.9760282189758365
storm_1,73583019,0.08779652901369417,0.9282211255577506
storm_1,73583020,0.10361227906094309,0.9234955855274625
storm_1,73583021,0.11551542063957772,0.904728619217585
storm_2,73583023,0.09465929634010758,0.9370680619848859
storm_2,73583024,0.12996393211744872,0.8906674333734657
storm_2,73583025,0.06637619659750288,0.9727949907291292
