case,pixel,rmse,correlation
broad_low_2,90423465,0.04562781645025515,0.9677607247984584
broad_low_2,90423466,0.04401811160036354,0.9701304377809679
broad_low_2,90423467,0.0422285691856081,0.9727328195022369
broad_low_2,90423468,0.043569780853189924,0.9694065125095512
broad_low_2,90431568,0.04483868116037729,0.9671144612259427
broad_low_2,90431569,0.04263732212297825,0.9707082777820906
broad_high_1,93665568,0.07994145781509066,0.8602282921180646
broad_high_1,93665569,0.08708576052674134,0.878941175621307
broad_high_1,93671599,0.08338842999581317,0.8447946295444383
broad_high_1,93671600,0.05211199556740517,0.9474084128629351
broad_high_1,93671601,0.060528234700019404,0.9318544913645941
broad_high_1,93671602,0.08076411872103394,0.8345043158468586
broad_high_1,93671603,0.06447404594575451,0.9101263788094127
broad_high_1,93671604,0.07833642892461487,0.9058640367932663
broad_high_1,93671605,0.07641461274722605,0.9265878506151441
broad_high_1,93677701,0.0811884094337366,0.8505698057286821
broad_high_1,93677702,0.051818464069381044,0.9366386595961789
broad_high_1,93677703,0.04732089163423652,0.9493870247835806
broad_high_2,93677705,0.074217951385231,0.9223042904135693
broad_high_2,93677706,0.06108945192233608,0.9533231922704416
broad_high_2,93677707,0.05468541718850686,0.9587720186948779
broad_high_2,93683767,0.07678814995213852,0.8618891666858812
broad_high_2,93683768,0.07165664351550134,0.8897494493221706
broad_high_2,93683769,0.05515194424496474,0.92283149136921
broad_high_2,93683770,0.05579651623769653,0.9369454792736202
broad_high_2,93683771,0.05466461790491326,0.9672279989037335
broad_high_2,93683772,0.05587271196264734,0.969424700755293
broad_high_2,93683773,0.05862090713799657,0.9525788439744338
broad_high_2,93689899,0.07807558198899121,0.8700332574745311
broad_high_2,93689900,0.0649557329141039,0.9307098027291888
ever_low_1,46039617,0.0912986719598449,0.40124468362262866
ever_low_1,46039618,0.08124338359271677,0.581145922071316
ever_low_1,46039619,0.0724872484396873,0.6299948798751985
ever_low_1,46039620,0.07845130646244008,0.5788621788994727
ever_low_1,46046483,0.06679854996039451,0.6202438607424616
ever_low_1,46046484,0.07035902007039047,0.6028967917545174
ever_low_1,46046485,0.07519136133943699,0.5622080405867731
ever_low_1,46046486,0.08157273489936243,0.5588916062800533
ever_low_1,46046487,0.07907441792034303,0.5780885619382748
ever_low_1,46053256,0.06643049219733323,0.6486013559668701
ever_low_1,46053257,0.06707807715898068,0.5983715706987466
ever_low_1,46053258,0.07054488560749346,0.5839409056317192
ever_low_2,46053260,0.08150536366254187,0.5017594798798319
ever_low_2,46059979,0.06757201555392499,0.7050688760588706
ever_low_2,46059980,0.08130697489633004,0.5787296649091994
ever_low_2,46059981,0.07732640626216189,0.5686122028715213
ever_low_2,46059982,0.06932379743161089,0.6340442794958859
ever_low_2,46059983,0.07704817579959666,0.5316616868724894
ever_low_2,46059984,0.07644881425312092,0.5355655442199065
ever_low_2,46066818,0.07189896407824434,0.6492582904250062
ever_low_2,46066819,0.09311673625353849,0.5535394817467791
ever_low_2,46066820,0.07339440775856139,0.645472989658052
ever_low_2,46066821,0.08711207142033939,0.4564299064905941
ever_low_2,46066822,0.08123106153088437,0.4587508296201815
ever_high_1,54218568,0.16247863643491134,0.45410386370092815
ever_high_1,54218569,0.15625879341847773,0.47188734397716925
ever_high_1,54225600,0.1318493622073668,0.4777220591868159
ever_high_1,54225601,0.1264585637778247,0.4769392246915543
ever_high_1,54225602,0.13176837303874275,0.3216317502814154
ever_high_1,54225603,0.13380156620779096,0.33399633336551116
ever_high_1,54225604,0.13178363630238887,0.3669624479238191
ever_high_1,54225605,0.14196305136537632,0.49442185717008563
ever_high_1,54225606,0.15499330610285444,0.4368333475761743
ever_high_1,54232659,0.13024502892831086,0.5637159843369213
ever_high_1,54232660,0.12990976960829456,0.446230279730106
ever_high_1,54232661,0.11397823900737908,0.6221037181287004
ever_high_2,54232663,0.14533579876693117,0.3413812191980798
ever_high_2,54232664,0.14354606004636877,0.3450881297218572
ever_high_2,54232665,0.1437651564658465,0.33595234637262095
ever_high_2,54239717,0.12999165372020116,0.6424506396312712
ever_high_2,54239718,0.1395500653224815,0.5632205778679726
ever_high_2,54239719,0.145590614347873,0.5348852346304159
ever_high_2,54239720,0.1468093122286227,0.5385451586007609
ever_high_2,54239721,0.15738418255930886,0.49077512571955606
ever_high_2,54239722,0.15999631732403033,0.2894668348222116
ever_high_2,54239723,0.15842335261459653,0.21992362623239683
ever_high_2,54246872,0.143380095624471,0.6388829841969115
ever_high_2,54246873,0.15164006534519292,0.6069023953935788
non_fire_1,84468269,0.08902454691157571,0.7504528100838956
